epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.38,2.19182,2.99402,1.97398,0.50651,0.18734,0.12269,0.04338,2.22133,3.06731,1.84,0.000369369,0.000369369,0.000369369
2,301.744,2.14318,2.40879,1.89862,0.48565,0.17708,0.13316,0.04778,2.25538,2.79366,1.87621,0.000690882,0.000690882,0.000690882
3,448.23,2.14775,2.27943,1.88794,0.54572,0.19686,0.16065,0.05898,2.19967,2.43253,1.82504,0.000963511,0.000963511,0.000963511
4,598.553,2.12834,2.21596,1.87995,0.53369,0.21521,0.19912,0.07186,2.11921,2.24295,1.7556,0.000891022,0.000891022,0.000891022
5,746.331,2.08144,2.15026,1.85672,0.62763,0.22814,0.27305,0.10565,2.04677,2.06084,1.6872,0.000817696,0.000817696,0.000817696
6,922.137,2.13989,2.1228,1.92117,0.61399,0.24091,0.23247,0.0941,2.04444,2.04307,1.71433,0.00074437,0.00074437,0.00074437
7,1054.23,2.1081,2.02526,1.89684,0.63321,0.24937,0.25899,0.10057,2.03775,2.02671,1.67695,0.000671044,0.000671044,0.000671044
8,1187.98,2.07667,1.92959,1.85303,0.35605,0.33171,0.2954,0.1268,1.99634,1.92337,1.67179,0.000597718,0.000597718,0.000597718
9,1316.37,2.03806,1.90071,1.83842,0.33631,0.30058,0.27495,0.117,1.96612,1.90428,1.63309,0.000524392,0.000524392,0.000524392
10,1440.73,2.02805,1.84522,1.82123,0.40088,0.3526,0.31144,0.13037,1.9249,1.8538,1.5987,0.000451066,0.000451066,0.000451066
11,1569.54,1.98506,1.78104,1.78204,0.47713,0.38278,0.36436,0.15086,1.90105,1.81123,1.58967,0.00037774,0.00037774,0.00037774
12,1697.06,1.96158,1.7349,1.75948,0.39998,0.41325,0.37892,0.16095,1.88305,1.71117,1.57526,0.000304414,0.000304414,0.000304414
13,1823.17,1.93849,1.67273,1.7407,0.40824,0.44967,0.39245,0.17067,1.86187,1.69577,1.55255,0.000231088,0.000231088,0.000231088
14,1946.98,1.91578,1.63288,1.72004,0.47036,0.4627,0.40024,0.17321,1.85019,1.66729,1.53332,0.000157762,0.000157762,0.000157762
15,2071.91,1.8798,1.58352,1.69962,0.46019,0.4899,0.43545,0.18724,1.84397,1.6174,1.53415,8.4436e-05,8.4436e-05,8.4436e-05
