epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.65,2.09098,5.11856,2.14074,0.01131,0.80737,0.12928,0.04076,2.11423,7.56122,2.52851,0.00029997,0.00029997,0.00029997
2,310.513,1.99785,4.38544,2.07074,0.66416,0.05263,0.13117,0.03975,2.41355,7.87345,3.22337,0.000570721,0.000570721,0.000570721
3,458.339,1.98591,4.38516,2.08776,0.04962,0.15789,0.05488,0.01525,2.67591,8.37069,3.63557,0.000800409,0.000800409,0.000800409
4,602.549,1.96333,4.01148,2.06907,0.66265,0.06579,0.10462,0.03262,2.99914,14.943,4.9102,0.000891022,0.000891022,0.000891022
5,750.402,2.03496,3.94034,2.15634,0.61707,0.14474,0.13943,0.04466,2.34616,19.6317,3.10695,0.000817696,0.000817696,0.000817696
6,902.9,2.13747,5.22879,2.50125,0.1524,0.30368,0.17213,0.05945,2.34295,6.37069,2.96331,0.00074437,0.00074437,0.00074437
7,1039.77,2.13527,4.61594,2.44393,0.1908,0.31053,0.15647,0.04976,2.25362,4.7343,2.63359,0.000671044,0.000671044,0.000671044
8,1171.55,2.08364,4.18761,2.32533,0.39802,0.19158,0.24165,0.08027,2.18077,4.51628,2.50652,0.000597718,0.000597718,0.000597718
9,1310.03,2.08503,4.07164,2.22975,0.84733,0.17105,0.2262,0.08466,2.37525,5.03252,2.84282,0.000524392,0.000524392,0.000524392
10,1471,2.03131,3.86571,2.28534,0.3458,0.38421,0.27324,0.08961,2.2725,7.3137,2.88089,0.000451066,0.000451066,0.000451066
11,1628.17,1.99855,3.88306,2.21706,0.38881,0.31737,0.36837,0.1505,2.20961,3.84546,2.59374,0.00037774,0.00037774,0.00037774
12,1768.07,1.94404,3.46941,2.09548,0.46778,0.33684,0.38593,0.13914,2.16992,3.66032,2.53416,0.000304414,0.000304414,0.000304414
13,1905.88,1.81375,3.251,2.04522,0.33529,0.34947,0.32804,0.11344,2.26434,3.7986,2.61893,0.000231088,0.000231088,0.000231088
14,2046.13,1.80877,3.14749,2.03025,0.64667,0.3299,0.422,0.15766,2.04543,3.5483,2.36059,0.000157762,0.000157762,0.000157762
15,2187.88,1.76676,3.07989,2.03553,0.57016,0.33,0.46212,0.17695,2.04497,3.42795,2.3371,8.4436e-05,8.4436e-05,8.4436e-05
