epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,458.005,1.5074,2.66519,1.70014,0.53942,0.30783,0.25188,0.1327,1.84567,2.3386,1.91556,0.000237826,0.000237826,0.000237826
2,908.807,1.46416,2.00045,1.65537,0.57161,0.31836,0.30483,0.15731,1.91327,2.15761,1.9251,0.000444422,0.000444422,0.000444422
3,1383.54,1.45178,1.86978,1.64503,0.5105,0.3558,0.34276,0.17849,1.87624,2.12243,1.91848,0.000619601,0.000619601,0.000619601
4,1872.22,1.42442,1.77082,1.61704,0.38234,0.37106,0.36499,0.20369,1.83951,2.04464,1.84672,0.000572628,0.000572628,0.000572628
5,2370.75,1.38616,1.68791,1.58524,0.60002,0.37465,0.40036,0.21829,1.80494,1.91803,1.84337,0.000525504,0.000525504,0.000525504
6,2908.72,1.49695,1.68835,1.72607,0.49559,0.43041,0.43734,0.24802,1.72561,1.8544,1.77335,0.00047838,0.00047838,0.00047838
7,3363.8,1.45296,1.58845,1.68216,0.61654,0.40525,0.43747,0.24815,1.6993,1.80298,1.73547,0.000431256,0.000431256,0.000431256
8,3796.91,1.42971,1.51714,1.66119,0.67498,0.43047,0.48205,0.27557,1.67301,1.6899,1.71621,0.000384132,0.000384132,0.000384132
9,4244.98,1.39788,1.44882,1.63219,0.5223,0.46945,0.48847,0.28742,1.65515,1.64536,1.69324,0.000337008,0.000337008,0.000337008
10,4697.61,1.36687,1.39281,1.60326,0.65254,0.48583,0.51511,0.29795,1.61291,1.60898,1.65712,0.000289884,0.000289884,0.000289884
11,5147.98,1.34732,1.33582,1.58462,0.56852,0.48089,0.52639,0.31279,1.60397,1.54355,1.63963,0.00024276,0.00024276,0.00024276
12,5577.51,1.31544,1.28247,1.55385,0.58164,0.49127,0.5301,0.31487,1.59711,1.54662,1.63036,0.000195636,0.000195636,0.000195636
13,6029,1.28739,1.22851,1.53326,0.58777,0.53374,0.54988,0.32629,1.56917,1.48905,1.60483,0.000148512,0.000148512,0.000148512
14,6497.14,1.26555,1.18754,1.51367,0.55581,0.56136,0.56711,0.33867,1.55876,1.4483,1.58883,0.000101388,0.000101388,0.000101388
15,6988.69,1.23608,1.15388,1.49266,0.60025,0.54955,0.57715,0.34725,1.54917,1.41431,1.5784,5.4264e-05,5.4264e-05,5.4264e-05
