epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.379,2.19182,2.99402,1.97398,0.50651,0.18734,0.12269,0.04338,2.22133,3.06731,1.84,0.000369369,0.000369369,0.000369369
2,280.346,2.14773,2.42001,1.91115,0.49673,0.17952,0.12218,0.042,2.23646,2.56138,1.84086,0.000715292,0.000715292,0.000715292
3,415.489,2.15847,2.29304,1.89701,0.52393,0.17722,0.14962,0.05472,2.20434,2.68469,1.84392,0.00103677,0.00103677,0.00103677
4,548.93,2.14268,2.25171,1.88765,0.57303,0.22224,0.18788,0.07013,2.16699,2.23438,1.77632,0.00100101,0.00100101,0.00100101
5,682.775,2.10538,2.17906,1.87063,0.61263,0.21694,0.22846,0.08881,2.0997,2.24636,1.74969,0.000964348,0.000964348,0.000964348
6,815.545,2.06818,2.0811,1.83566,0.60729,0.23802,0.22889,0.09512,2.07236,2.20358,1.74757,0.000927685,0.000927685,0.000927685
7,947.861,2.04517,2.02273,1.80924,0.61633,0.23546,0.22548,0.09355,2.02839,2.10084,1.66243,0.000891022,0.000891022,0.000891022
8,1081.2,2.03266,1.98401,1.78562,0.61526,0.24603,0.2554,0.10374,2.029,2.01672,1.68149,0.000854359,0.000854359,0.000854359
9,1214.63,2.00923,1.96355,1.76566,0.64777,0.25684,0.25719,0.10796,1.99161,1.97887,1.67068,0.000817696,0.000817696,0.000817696
10,1347.97,1.98782,1.91765,1.75196,0.41038,0.35922,0.32956,0.13497,1.9477,1.92952,1.60899,0.000781033,0.000781033,0.000781033
11,1489.69,1.98428,1.89016,1.75276,0.45987,0.36001,0.31683,0.12889,1.94544,1.88701,1.59934,0.00074437,0.00074437,0.00074437
12,1637.15,1.96504,1.87224,1.73735,0.35523,0.44119,0.30199,0.13142,1.93432,1.93143,1.61404,0.000707707,0.000707707,0.000707707
13,1773.88,1.94097,1.81256,1.71621,0.65729,0.28401,0.28848,0.12435,1.93302,1.88483,1.62106,0.000671044,0.000671044,0.000671044
14,1910.44,1.9316,1.79606,1.70679,0.37364,0.44691,0.34896,0.15355,1.90978,1.75536,1.5766,0.000634381,0.000634381,0.000634381
15,2051.85,1.92489,1.78899,1.70123,0.3513,0.38776,0.34883,0.14883,1.89779,1.76321,1.57018,0.000597718,0.000597718,0.000597718
16,2191.74,1.91478,1.75376,1.69895,0.32729,0.46324,0.36233,0.15144,1.86893,1.7562,1.53885,0.000561055,0.000561055,0.000561055
17,2321.85,1.89726,1.73362,1.67792,0.45948,0.4518,0.39826,0.16126,1.88784,1.72621,1.55387,0.000524392,0.000524392,0.000524392
18,2450,1.88367,1.69679,1.6631,0.43196,0.4209,0.38562,0.17381,1.85387,1.73633,1.54387,0.000487729,0.000487729,0.000487729
19,2583.26,1.88516,1.67857,1.66387,0.51125,0.46812,0.40754,0.17117,1.89446,1.69401,1.55752,0.000451066,0.000451066,0.000451066
20,2715.42,1.87648,1.67661,1.66046,0.5077,0.4132,0.42425,0.17973,1.86643,1.67374,1.54385,0.000414403,0.000414403,0.000414403
21,2875.65,1.91787,1.62903,1.71888,0.45092,0.44108,0.4299,0.18082,1.849,1.64707,1.53488,0.00037774,0.00037774,0.00037774
22,2999.66,1.89487,1.57632,1.70598,0.46613,0.50977,0.46979,0.20098,1.84281,1.64144,1.53839,0.000341077,0.000341077,0.000341077
23,3128.57,1.87315,1.53269,1.69605,0.48836,0.48662,0.41998,0.18866,1.84199,1.63873,1.53894,0.000304414,0.000304414,0.000304414
24,3257.18,1.8503,1.51484,1.67723,0.46761,0.53019,0.46321,0.20484,1.82858,1.56856,1.51018,0.000267751,0.000267751,0.000267751
25,3381.76,1.84331,1.48183,1.66873,0.4845,0.55407,0.48232,0.2138,1.8223,1.56676,1.51658,0.000231088,0.000231088,0.000231088
26,3507.34,1.82483,1.4618,1.65738,0.50281,0.49228,0.47838,0.21373,1.82384,1.5351,1.51349,0.000194425,0.000194425,0.000194425
27,3630.01,1.80654,1.41702,1.63756,0.53317,0.53951,0.51826,0.23514,1.8135,1.52973,1.50387,0.000157762,0.000157762,0.000157762
28,3753.24,1.80124,1.40552,1.63009,0.48372,0.55756,0.53062,0.23941,1.80543,1.52228,1.50044,0.000121099,0.000121099,0.000121099
29,3878.37,1.76786,1.3798,1.61997,0.52191,0.57672,0.5357,0.24112,1.81094,1.50071,1.50344,8.4436e-05,8.4436e-05,8.4436e-05
30,4010.04,1.76196,1.36124,1.60916,0.5214,0.578,0.54728,0.24742,1.80181,1.48117,1.49748,4.7773e-05,4.7773e-05,4.7773e-05
