epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1561.49,1.70789,3.29606,1.82129,0.56745,0.28404,0.27176,0.1528,1.81433,2.43005,1.89065,0.00333264,0.00333264,0.00333264
2,3053.36,1.69339,2.72422,1.81725,0.45125,0.30422,0.28538,0.15408,1.84166,2.38948,1.92756,0.00653398,0.00653398,0.00653398
3,5563.21,1.7334,2.67012,1.86426,0.42525,0.31416,0.2915,0.15819,1.84377,2.38321,1.93945,0.00960333,0.00960333,0.00960333
4,7132.67,1.7325,2.61217,1.86575,0.61047,0.32727,0.3434,0.18353,1.78183,2.14737,1.88804,0.009406,0.009406,0.009406
5,8735.63,1.67114,2.47543,1.81389,0.61351,0.35725,0.38107,0.21016,1.72811,2.05174,1.82142,0.009208,0.009208,0.009208
